round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_2_trap_location,player_2_trap_type,bet_type,player_0_trap_location,player_0_trap_type,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
40,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,3.0,move_camel,c_4,,,12.0,1.0,,3.0,-1.0,5.0,1.0,1.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
41,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,0.0,round_winner_bet,c_0,,,12.0,1.0,,3.0,-1.0,5.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
42,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,1.0,round_winner_bet,c_1,,,12.0,1.0,,3.0,-1.0,5.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
43,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,2.0,round_winner_bet,c_0,,,12.0,1.0,,3.0,-1.0,5.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
44,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,3.0,game_bet,c_1,,,12.0,1.0,win,3.0,-1.0,5.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
45,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,0.0,round_winner_bet,c_1,,,12.0,1.0,,3.0,-1.0,5.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
46,11,2,True,11,1,True,6,0,True,10,0,True,11,0,True,9,7,11,11,1.0,move_trap,,1.0,14.0,12.0,1.0,,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
47,13,2,True,13,1,True,6,0,True,10,0,True,13,0,False,9,7,12,11,2.0,move_camel,c_4,,,12.0,1.0,,3.0,-1.0,14.0,1.0,2.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
48,13,2,True,13,1,True,6,0,True,10,0,True,13,0,False,9,7,12,11,3.0,round_winner_bet,c_0,,,12.0,1.0,,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
49,13,2,True,13,1,True,6,0,True,10,0,True,13,0,False,9,7,12,11,0.0,game_bet,c_1,,,12.0,1.0,win,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
