round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,bet_type,player_0_trap_location,player_0_trap_type
10,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,1.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
11,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,2.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
12,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,3.0,move_trap,,-1.0,1.0,3.0,-1.0,,1.0,-1.0,,,
13,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
14,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,1.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
15,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,2.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
16,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,3.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
17,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
18,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,move_camel,c_0,,,3.0,-1.0,0.0,1.0,-1.0,,,
19,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
20,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
21,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,0.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
22,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
23,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
24,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
25,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,0.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
26,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
27,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
28,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
29,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,0.0,move_camel,c_2,,,3.0,-1.0,2.0,1.0,-1.0,,,
30,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,1.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,,
31,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,2.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,,
32,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,3.0,round_winner_bet,c_1,,,3.0,-1.0,,1.0,-1.0,,,
33,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,0.0,move_trap,,-1.0,5.0,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
34,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,1.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
35,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,2.0,round_winner_bet,c_1,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
