round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,game_id,active_player,action_type,camel,ev,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,bet_type,player_2_trap_location,player_2_trap_type,player_0_trap_location,player_0_trap_type,player_3_trap_location,player_3_trap_type
74,10,0,True,5,0,False,5,1,False,7,0,True,5,2,True,11,27,5,15,60,1.0,move_camel,c_1,0.75,,,6.0,-1.0,0.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
75,10,0,True,5,0,False,5,1,False,7,0,True,5,2,True,11,27,5,15,60,2.0,round_winner_bet,c_3,0.7959999999999999,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
76,10,0,True,5,0,False,5,1,False,9,0,False,5,2,True,11,27,5,16,60,3.0,move_camel,c_3,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
77,10,0,True,5,0,False,5,1,False,9,0,False,5,2,True,11,27,5,16,60,0.0,round_winner_bet,c_3,1.0,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
78,10,0,True,5,0,False,5,1,False,9,0,False,7,0,False,11,28,5,17,60,1.0,move_camel,c_4,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
79,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,2.0,move_camel,c_0,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
80,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,3.0,round_winner_bet,c_0,3.614,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
81,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,0.0,round_winner_bet,c_0,2.2680000000000002,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
82,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,1.0,round_winner_bet,c_3,1.7300000000000002,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
83,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,2.0,round_winner_bet,c_0,1.57,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
84,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,3.0,round_winner_bet,c_3,1.196,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
85,12,0,True,5,0,True,5,1,True,9,0,True,7,0,True,13,33,10,19,60,0.0,round_winner_bet,c_3,0.762,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
86,12,0,True,5,0,True,7,1,False,9,0,True,7,0,True,13,34,10,19,60,1.0,move_camel,c_2,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
87,15,0,False,5,0,True,7,1,False,9,0,True,7,0,True,13,34,11,19,60,2.0,move_camel,c_0,0.75,,,6.0,-1.0,3.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
88,15,0,False,5,0,True,7,1,False,12,0,False,7,0,True,13,34,11,20,60,3.0,move_camel,c_3,0.75,,,6.0,-1.0,3.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
89,15,0,False,5,0,True,10,1,False,12,0,False,10,0,False,14,34,11,20,60,0.0,move_camel,c_4,0.75,,,6.0,-1.0,3.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
90,15,0,True,7,0,True,10,1,True,12,0,True,10,0,True,18,36,13,27,60,1.0,move_camel,c_1,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,8.0,-1.0
91,15,0,True,7,0,True,10,1,True,12,0,True,10,0,True,18,36,13,27,60,2.0,round_winner_bet,c_0,3.9800000000000004,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
92,15,0,True,7,0,True,10,1,True,12,0,True,10,0,True,18,36,13,27,60,3.0,round_winner_bet,c_0,2.4179999999999997,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
93,15,0,True,7,0,True,10,1,True,12,0,True,10,0,True,18,36,13,27,60,0.0,round_winner_bet,c_0,1.6580000000000001,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
94,15,0,True,7,0,True,10,1,True,12,0,True,10,0,True,18,36,13,27,60,1.0,move_trap,,0.892000000000003,1.0,14.0,14.0,1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
