round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,distance,trap_type,trap_location,player_3_trap_location,player_3_trap_type,player_2_trap_location,player_2_trap_type,bet_type,player_1_trap_location,player_1_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
43,2,0,False,2,1,True,8,1,False,8,0,True,9,0,True,13,10,10,11,2.0,game_bet,c_2,,,,,,3.0,-1.0,win,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
44,2,0,False,2,1,True,8,1,False,8,0,True,9,0,True,13,10,10,11,3.0,game_bet,c_2,,,,,,3.0,-1.0,win,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
45,2,0,False,5,0,False,8,1,False,8,0,True,9,0,True,14,10,10,11,0.0,move_camel,c_1,3.0,,,,,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
46,2,0,False,5,0,False,8,1,False,8,0,True,9,0,True,14,10,10,11,1.0,round_winner_bet,c_2,,,,,,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
47,2,0,False,5,0,False,8,1,False,8,0,True,9,0,True,14,10,10,11,2.0,round_winner_bet,c_2,,,,,,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
48,2,0,False,5,0,False,8,1,False,8,0,True,9,0,True,14,10,10,11,3.0,move_trap,,,-1.0,11.0,11.0,-1.0,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
49,2,0,False,5,0,False,10,1,False,10,0,False,9,0,True,15,10,10,12,0.0,move_camel,c_3,2.0,,,11.0,-1.0,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
50,2,0,True,5,0,True,10,1,True,10,0,True,10,2,True,15,18,12,14,1.0,move_camel,c_4,1.0,,,11.0,-1.0,3.0,-1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
51,2,0,True,5,0,True,10,1,True,10,0,True,10,2,True,15,18,12,14,2.0,move_trap,,,1.0,15.0,11.0,-1.0,15.0,1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
52,2,0,True,5,0,True,10,1,True,10,0,True,10,2,True,15,18,12,14,3.0,round_winner_bet,c_4,,,,11.0,-1.0,15.0,1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
53,4,0,False,5,0,True,10,1,True,10,0,True,10,2,True,16,18,12,14,0.0,move_camel,c_0,2.0,,,11.0,-1.0,15.0,1.0,,,,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
54,4,0,False,5,0,True,10,1,True,10,0,True,10,2,True,16,18,12,14,1.0,move_trap,,,1.0,13.0,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
55,4,0,False,5,0,True,10,1,True,10,0,True,10,2,True,16,18,12,14,2.0,round_winner_bet,c_2,,,,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
56,4,0,False,5,0,True,10,1,True,10,0,True,10,2,True,16,18,12,14,3.0,round_winner_bet,c_4,,,,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
